23;57;77;23;80;62;23
11;49;74;62;40;83;92
58;50;55;15;68;12;37
35;64;31;96;69;26;87
11;16;18;32;35;40;22
51;80;64;70;53;15;93
41;64;15;42;34;60;18
80;24;19;88;38;93;18
96;46;69;44;52;72;68
82;76;76;18;37;84;25
58;63;79;84;35;29;42
16;27;88;40;77;71;22
99;63;22;82;97;70;26
81;35;25;30;42;75;89
52;17;31;93;69;70;63
27;38;94;72;39;52;65
18;31;94;55;50;13;36
50;11;66;67;45;28;12
74;24;79;34;36;92;89
51;37;32;96;98;22;60
83;23;74;94;57;25;86
65;76;97;96;12;97;79
28;11;22;17;24;27;34
75;75;70;80;77;75;73
71;17;57;52;29;83;99
96;53;78;62;71;88;47
97;40;38;70;10;42;91
20;46;59;27;60;84;34
76;69;73;18;49;55;40
46;50;76;84;11;15;51
79;25;70;89;48;29;72
121;41;121;85;34;121;76
28;62;50;65;27;76;32
29;51;70;62;93;85;33
82;32;41;17;60;53;92
59;78;76;98;93;71;68
76;58;13;81;87;23;75
142;94;17;142;142;62;100
76;24;73;14;11;72;93
40;19;74;40;86;58;13
90;72;87;59;46;42;45
93;13;96;79;61;44;47
26;46;33;53;44;78;71
61;59;77;42;100;15;40
31;23;84;13;97;33;75
85;74;84;95;100;66;58
32;25;42;71;63;60;45
79;44;83;63;32;78;34
55;55;29;31;93;77;99
54;61;17;32;85;48;56
50;63;57;81;62;14;28
33;42;81;67;67;56;53
98;29;46;40;73;19;82
54;85;83;67;67;14;18
44;41;94;53;57;33;89
63;76;69;60;25;30;56
12;61;37;56;62;94;58
23;48;32;60;10;25;41
60;23;67;84;23;94;61
44;42;44;66;93;21;76
66;93;24;51;74;98;49
75;61;11;62;56;69;36
45;17;87;24;43;37;26
16;56;34;77;42;38;85
44;10;18;45;77;42;32
49;62;98;69;68;74;68
91;98;35;57;32;56;31
21;36;66;27;57;20;80
62;56;51;74;48;90;25
88;33;40;51;88;56;17
82;62;28;61;34;10;13
66;54;20;11;51;96;71
50;45;86;46;68;30;74
58;98;85;91;52;74;92
76;65;22;57;89;11;29
92;67;81;26;66;29;60
60;46;13;59;99;32;77
42;77;30;46;65;89;71
13;45;100;45;49;11;92
90;16;55;69;91;20;78
86;64;21;27;65;78;32
85;22;53;70;29;99;85
56;91;36;44;21;97;79
34;33;70;56;81;40;78
70;18;98;79;81;43;81
62;35;76;36;63;65;14
26;81;21;29;35;57;85
99;64;11;98;76;11;14
73;19;70;94;10;64;49
37;72;50;95;25;71;20
99;60;49;92;81;38;75
61;68;51;41;61;76;60
58;61;26;95;31;88;39
62;34;66;82;55;57;73
10;27;48;91;83;69;89
86;54;15;15;16;51;15
83;68;97;61;19;14;44
74;56;16;35;47;82;15
97;62;68;33;62;99;59
58;25;56;35;51;35;33
13;51;69;81;20;95;31
99;95;50;71;53;32;35
32;91;99;93;11;99;41
12;30;31;54;47;39;87
37;48;22;90;84;39;46
41;63;83;85;58;81;96
41;35;18;66;10;42;20
76;26;18;94;45;16;14
63;75;66;68;20;26;52
19;84;96;73;60;99;67
28;30;18;18;33;33;29
